ACCION;BIEN;ESPACIO;CATEGORIZACION DEL BIEN ;CATEGORIZACION DEL  ESPACIO;TIPO DE ACCION;METODOLOGIA // VERIFICAR;FRECUENCIA S/PLIEGO;FRECUENCIA REQUERIDA;DURACION ESTIMADA;QTY. RECURSOS
Limpieza;Cortinas y cortinados;Salas de exhibicion;Tipo roller blackout vinilicas motorizadas (25% fibra de vidrio y 75% pvc);;Basica;Repaso con trapo franela, plumero suave o cepillo de cerda livianos;semanal;;;
Limpieza;Cortinas y cortinados;Restaurante piso 9;Tipo roller motorizadas (30% fibra de vidrio y 70% pvc);;Basica;Repaso con trapo franela, plumero suave o cepillo de cerda livianos;semanal;;;
Limpieza;Cortinas y cortinados;Cupula;De accionamiento mecanico, de pana ignifuga;;Basica;Repaso con trapo franela, plumero suave o cepillo de cerda livianos;semanal;;;
Limpieza;Cortinas y cortinados;Gran sala;De pana ignifuga;;Basica;Repaso con trapo franela, plumero suave o cepillo de cerda livianos;semanal;;;
Limpieza;Cortinas y cortinados;Area noble;Voile con tratamiento ignifugo, otras tipo madras o tejido acanalado rustico;;Intermedia;Lavado, planchado;trimestral;;;
Limpieza;Cortinas y cortinados;Salas de exhibicion;Tipo roller, de telas tecnicas y de poliester;;Intermedia;Limpieza con aspiradora industrial con cepillo suave;mensual;;;
Limpieza;Cortinas y cortinados;Salas de exhibicion;Tipo roller blackout vinilicas motorizadas (25% fibra de vidrio y 75% pvc);;Intermedia;Limpieza con aspiradora industrial con cepillo suave;mensual;;;
Limpieza;Cortinas y cortinados;Restaurante piso 9;Tipo roller motorizadas (30% fibra de vidrio y 70% pvc);;Intermedia;Limpieza con aspiradora industrial con cepillo suave;mensual;;;
Limpieza;Cortinas y cortinados;Cupula;De accionamiento mecanico, de pana ignifuga;;Intermedia;Limpieza con aspiradora industrial con cepillo suave;mensual;;;
Limpieza;Cortinas y cortinados;Gran sala;De pana ignifuga;;Intermedia;Limpieza con aspiradora industrial con cepillo suave;mensual;;;
Limpieza;Cortinas y cortinados;Area noble;Voile con tratamiento ignifugo, otras tipo madras o tejido acanalado rustico;;Profunda;Requiere autoriazcion de CTO, retiro, lavado, planchado con productos acorde;trimestral;;;
Limpieza;Cortinas y cortinados;Area noble;De telas pesadas tipo brocato, terciopelo, chintz, madras, pana o similares;;Basica;Aspiradas con aspiradora con boquilla;semanal;;;
Limpieza;Cortinas y cortinados;Area noble;De telas pesadas tipo brocato, terciopelo, chintz, madras, pana o similares;;Profunda;Limpieza a seco, planchado;semestral;;;
Limpieza;Cortinas y cortinados;Salas de exhibicion;Tipo roller, de telas tecnicas y de poliester;;Profunda;Retiro, lavado, planchado, no se admitira la limpieza en el lugar;trimestral;;;
Limpieza;Cortinas y cortinados;Salas de exhibicion;Tipo roller blackout vinilicas motorizadas (25% fibra de vidrio y 75% pvc);;Profunda;Retiro, lavado, planchado, no se admitira la limpieza en el lugar;trimestral;;;
Limpieza;Cortinas y cortinados;Restaurante piso 9;Tipo roller motorizadas (30% fibra de vidrio y 70% pvc);;Profunda;Retiro, lavado, planchado, no se admitira la limpieza en el lugar;trimestral;;;
Limpieza;Cortinas y cortinados;Cupula;De accionamiento mecanico, de pana ignifuga;;Profunda;Retiro, lavado, planchado, no se admitira la limpieza en el lugar;trimestral;;;
Limpieza;Cortinas y cortinados;Gran sala;De pana ignifuga;;Profunda;Retiro, lavado, planchado, no se admitira la limpieza en el lugar;trimestral;;;
Maestranza;;Ambientes para actos o eventos en general;;Ambientes para actos o eventos en general;Basica;Movimieno de bultos, muebles, butacas moviles, movimiento de residuos de obra por reparaciones menores o de finalizacion de algun evento;diaria;;;
Maestranza;;Trabajos de Altura;;Trabajos de Altura;Basica;Trabajos de Altura;diaria;;;
Limpieza;Artefactos de Iluminacion;;Arañas;;Basica;Quitar polvo en seco;semanal;;;
Limpieza;Artefactos de Iluminacion;;Caireñes de cristal, lamparas;;Basica;Pañu humedo en alcohol fino, secado;mensual;;;
Limpieza;Artefactos de Iluminacion;Cielorrasos;Lamparas de pie y mesa;;Basica;Quitar polvo en seco, paño humedo, secado;semanal;;;
Limpieza;Artefactos de Iluminacion;;Iluminacion escenica;;Basica;Sin detalle;semanal, a demanda;;;
Limpieza;Artefactos de Iluminacion;;Otros artefactos de iluminacion;;Basica;Quitar polvo y telarañas con plumero, esta tarea debe realizarse antes de la limpieza del ambiente en el que el artefacto de iluminacion se encuentra;diaria;;;
