PLANTA;CODIGO-ESPACIO;CODIFICACION;NOMBRE;SECTOR;AMBIENTE;TIPOLOGIA-1;TIPOLOGIA-2
PB;PB-AS-17-PB;AS-17-PB;Ascensor 17;Industrial;Interior;Ascensor;
PB;PB-T-004;T-004;T-004;Industrial;Interior;Cocina;
PB;PB-004-R.A;004-R.A;004-Restaurante Alem;Industrial;Interior;Restaurante;
PB;PB-T-006;T-006;T-006;Industrial;Interior;Bano;
PB;PB-T-007;T-007;T-007;Industrial;Interior;Bano;
PB;PB-P.PB.T-006;P.PB.T-006;Pasillo PB T-006;Industrial;Interior;Pasillo;
PB;PB-P.PB.T-007;P.PB.T-007;Pasillo PB T-007;Industrial;Interior;Pasillo;
PB;PB-T-005;T-005;T-005;Industrial;Interior;Bano;
PB;PB-P.PB.T-005;P.PB.T-005;Pasillo PB T-005;Industrial;Interior;Pasillo;
PB;PB-A0-A;A0-A;Anillo 0-Alem;Industrial;Interior;Anillo;
PB;PB-P.S.A;P.S.A;Plaza Seca Alem;Industrial;Interior;Plaza;
PB;PB-E-15-PB;E-15-PB;Escalera 15;Industrial;Interior;Escalera;
PB;PB-P.S.C;P.S.C;Plaza Seca Central;Industrial;Interior;Plaza;
PB;PB-E-16-PB;E-16-PB;Escalera 16;Industrial;Interior;Escalera;
PB;PB-P.S.B;P.S.B;Plaza Seca Bouchard;Industrial;Interior;Plaza;
PB;PB-A0-B;A0-B;Anillo 0-Bouchard;Industrial;Interior;Anillo;
PB;PB-P.PB.T-012/013;P.PB.T-012/013;Pasillo PB T-012/013;Transicion;Interior;Pasillo;
PB;PB-T-012;T-012;T-012;Transicion;Interior;Bano;
PB;PB-T-013;T-013;T-013;Transicion;Interior;Bano;
PB;PB-Acc.Pub.PB-B-A;Acc.Pub.PB-B-A;Acc.Pub.PB-Bouchard-A;Industrial;Interior;Acceso;
PB;PB-Acc.Pub.PB-B-B;Acc.Pub.PB-B-B;Acc.Pub.PB-Bouchard-B;Industrial;Interior;Acceso;
PB;PB-P.PB.E-06;P.PB.E-06;Pasillo PB Escalera 06;Industrial;Interior;Pasillo;
PB;PB-AS-18-PB;AS-18-PB;Ascensor 18;Industrial;Interior;Ascensor;
PB;PB-P.PB.A.E-06;P.PB.A.E-06;Pasillo PB Antecamara Escalera 06;Industrial;Interior;Pasillo;
PB;PB-E-06-PB;E-06-PB;Escalera 06;Industrial;Interior;Escalera;
PB;PB-T-011;T-011;T-011;Industrial;Interior;Cocina;
PB;PB-008-R.B;008-R.B;008-Restaurante Bouchard;Industrial;Interior;Restaurante;
PB;PB-P.PB.T-010;P.PB.T-010;Pasillo PB T-010;Industrial;Interior;Pasillo;
PB;PB-P.PB.T-009;P.PB.T-009;Pasillo PB T-009;Industrial;Interior;Pasillo;
PB;PB-T-010;T-010;T-010;Industrial;Interior;Bano;
PB;PB-P.PB.T-008;P.PB.T-008;Pasillo PB T-008;Industrial;Interior;Pasillo;
PB;PB-T-009;T-009;T-009;Industrial;Interior;Bano;
PB;PB-T-008;T-008;T-008;Industrial;Interior;Bano;
PB;PB-E-07-PB;E-07-PB;Escalera 07;Industrial;Interior;Escalera;
PB;PB-005-S;005-S;005-Seguridad;Industrial;Interior;Seguridad;
PB;PB-P.PB.E-07;P.PB.E-07;Pasillo PB Escalera 07;Industrial;Interior;Pasillo;
PB;PB-E-PB-C/A-B;E-PB-C/A-B;Escalera PB-C/A-B;Industrial;Interior;Escalera;
PB;PB-E-PB-C/A-A;E-PB-C/A-A;Escalera PB-C/A-A;Industrial;Interior;Escalera;
PB;PB-Acc.Ob.Y Pub.PB.C/A-B;Acc.Ob.Y Pub.PB.C/A-B;Acc.Ob.Y Pub.PB.C/A-B;Industrial;Interior;Acceso;
PB;PB-Acc.Ob.Y Pub.PB.C/A-B;Acc.Ob.Y Pub.PB.C/A-B;Acc.Ob.Y Pub.PB.C/A-B;Industrial;Interior;Acceso;
PB;PB-P.PB.AS-19;P.PB.AS-19;Pasillo PB Ascensor 19;Industrial;Interior;Pasillo;
PB;PB-AS-19-PB;AS-19-PB;Ascensor 19;Industrial;Interior;Ascensor;
PB;PB-P.PB.AS-20/E-08;P.PB.AS-20/E-08;Pasillo PB Ascensor 20/E-08;Industrial;Interior;Pasillo;
PB;PB-E-08-PB;E-08-PB;Escalera 08;Industrial;Interior;Escalera;
PB;PB-AS-20-PB;AS-20-PB;Ascensor 20;Industrial;Interior;Ascensor;
PB;PB-A0-C;A0-C;Anillo 0-Corrientes;Industrial;Interior;Anillo;
PB;PB-A0-UTA;A0-UTA;Antecamara 0-UTA;Noble;Interior;Oficina;
PB;PB-0-UTA;0-UTA;0-UTA;Noble;Interior;Oficina;
PB;PB-006 A-O;006 A-O;006 A-Oficina;Industrial;Interior;Oficina;
PB;PB-006-O;006-O;006-Oficina;Industrial;Interior;Oficina;
PB;PB-006 C-O;006 C-O;006 C-Oficina;Industrial;Interior;Oficina;
PB;PB-006 D-S.M.S;006 D-S.M.S;006 D-Sala de Monitoreo Seguridad;Industrial;Interior;Oficina;
PB;PB-P.PB.AS-21;P.PB.AS-21;Pasillo PB Ascensor 21;Industrial;Interior;Pasillo;
PB;PB-AS-21-PB;AS-21-PB;Ascensor 21;Industrial;Interior;Ascensor;
PB;PB-E-09-PB;E-09-PB;Escalera 09;Industrial;Interior;Escalera;
PB;PB-P.PB.AS-22;P.PB.AS-22;Pasillo PB Ascensor 22;Industrial;Interior;Pasillo;
PB;PB-AS-22-PB;AS-22-PB;Ascensor 22;Industrial;Interior;Ascensor;
PB;PB-Acc.Ob.Y Pub.PB.C/B-B;Acc.Ob.Y Pub.PB.C/B-B;Acc.Ob.Y Pub.PB.C/B-B;Industrial;Interior;Acceso;
PB;PB-Acc.Ob.Y Pub.PB.C/B-A;Acc.Ob.Y Pub.PB.C/B-A;Acc.Ob.Y Pub.PB.C/B-A;Industrial;Interior;Acceso;
PB;PB-E-PB-C/B-B;E-PB-C/B-B;Escalera PB-C/B-B;Industrial;Interior;Escalera;
PB;PB-E-PB-C/B-A;E-PB-C/B-A;Escalera PB-C/B-A;Industrial;Interior;Escalera;
PB;PB-P.PB.E-10;P.PB.E-10;Pasillo PB Escalera 10;Industrial;Interior;Pasillo;
PB;PB-E-10;E-10;Escalera 10;Industrial;Interior;Escalera;
PB;PB-007-S;007-S;007-Seguridad;Industrial;Interior;Seguridad;
